City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Ruhengeri,98,RW,1584226961,94,-1.5,29.64,52.68,1.3
Cockburn Town,40,TC,1584226961,65,21.46,-71.14,78.8,11.41
Ixtapa,5,MX,1584226807,74,20.7,-105.2,78.8,16.11
Bethel,1,US,1584226961,32,41.37,-73.41,51.8,11.41
Fougamou,100,GA,1584226962,96,-1.22,10.58,74.89,1.25
Sai Buri,60,TH,1584226962,93,6.7,101.62,74.66,2.06
Iracoubo,83,GF,1584226962,78,5.48,-53.2,79.86,15.93
Mabaruma,96,GY,1584226962,90,8.2,-59.78,73.81,3.06
Ostrovnoy,97,RU,1584226891,97,68.05,39.51,2.52,11.65
Cerqueira César,18,BR,1584226962,78,-23.04,-49.17,70.95,6.96
Lamu,70,KE,1584226963,77,-2.27,40.9,84.07,9.91
Boone,90,US,1584226963,86,39.03,-92.33,39.2,10.29
Yar-Sale,80,RU,1584226895,89,66.83,70.83,-3.82,11.99
Zhigansk,100,RU,1584226963,95,66.77,123.37,-5.39,23.87
Acapulco de Juárez,20,MX,1584226727,66,16.86,-99.89,86.0,5.82
Nālūt,0,LY,1584226963,24,30.33,10.85,59.85,10.65
Atambua,4,ID,1584226964,78,-9.11,124.89,79.61,1.36
Honiara,75,SB,1584226964,89,-9.43,159.95,84.2,5.82
Santa Cruz de Barahona,40,DO,1584226964,58,18.21,-71.1,87.8,16.11
Gnjilane,75,XK,1584226964,94,42.46,21.47,44.6,2.24
Port Blair,26,IN,1584226964,69,11.67,92.75,82.2,6.35
Esim,100,GH,1584226964,88,4.87,-2.24,78.6,3.06
Moussoro,0,TD,1584226964,15,13.64,16.49,67.28,12.73
Ust'-Ilimsk,100,RU,1584226964,94,58.0,102.66,30.36,7.43
Katsuura,20,JP,1584226965,60,35.13,140.3,44.01,10.29
Praia,18,CV,1584226965,33,14.92,-23.51,77.0,16.11
Melfi,90,IT,1584226965,87,41.0,15.65,53.6,5.82
Tasiilaq,0,GL,1584226965,65,65.61,-37.64,3.2,5.06
Port Hardy,5,CA,1584226811,32,50.7,-127.42,39.2,13.87
Anloga,20,GH,1584226966,88,5.79,0.9,82.4,8.05
Lindi,100,TZ,1584226966,96,-10.0,39.72,74.41,1.9
Rawson,0,AR,1584226966,66,-43.3,-65.1,61.12,6.96
Kholm,100,RU,1584226967,70,59.27,32.85,24.26,11.99
Paracatu,36,BR,1584226967,95,-17.22,-46.87,69.28,3.04
Yuci,0,CN,1584226967,46,37.68,112.73,28.4,2.24
Kondinskoye,37,RU,1584226967,88,59.65,67.41,29.14,11.12
Grand-Lahou,100,CI,1584226967,79,5.14,-5.02,83.89,11.32
Cilegon,20,ID,1584226967,83,-6.02,106.05,78.8,2.24
Itarema,99,BR,1584226967,94,-2.92,-39.92,75.51,3.15
Graaff-Reinet,69,ZA,1584226968,95,-32.25,24.53,63.0,4.0
Berkåk,100,NO,1584226968,59,62.83,10.01,30.0,1.99
Bulgan,66,MN,1584226968,71,48.81,103.53,19.56,5.68
Bayjī,100,IQ,1584226968,86,34.93,43.49,58.35,6.35
San Carlos,9,VE,1584226968,40,9.66,-68.58,82.06,7.76
Santo Tomas,20,PH,1584226968,78,14.11,121.14,79.0,3.36
Sitka,1,US,1584226968,60,57.05,-135.33,41.0,7.34
Trofors,100,NO,1584226969,59,65.53,13.41,35.6,25.28
Nuevo Progreso,59,MX,1584226970,75,23.17,-97.95,82.99,3.0
Aksaray,20,TR,1584226921,71,38.37,34.03,50.0,8.05
Mumbwa,91,ZM,1584226970,98,-14.98,27.06,64.96,2.28
Luau,100,AO,1584226970,98,-10.71,22.22,66.76,0.69
‘Āhuimanu,90,US,1584226970,73,21.44,-157.84,82.4,4.81
Alapur,0,IN,1584226970,85,27.96,79.23,56.75,5.21
North Branch,1,US,1584226971,75,45.51,-92.98,35.6,4.7
Gurupá,100,BR,1584226971,99,-1.41,-51.64,74.79,2.33
Statesboro,40,US,1584226971,53,32.45,-81.78,82.4,8.05
Constitución,38,CL,1584226964,83,-35.33,-72.42,54.82,5.7
Parian Dakula,96,PH,1584226971,75,5.56,120.77,80.71,7.11
Nikki,82,BJ,1584226971,14,9.94,3.21,77.11,5.03
Zatoka,100,UA,1584226971,52,46.07,30.47,41.0,13.42
Surovikino,17,RU,1584226972,78,48.61,42.85,39.51,13.49
Geraldton,90,AU,1584226972,88,-28.77,114.6,73.4,10.29
Manaure,20,CO,1584226972,78,11.78,-72.44,80.6,18.34
Damietta,17,EG,1584226972,88,31.42,31.81,62.6,5.82
Ocampo,68,MX,1584226972,77,21.65,-101.5,57.18,16.87
Skała,0,PL,1584226972,58,50.23,19.85,30.99,5.82
Nyurba,97,RU,1584226973,94,63.28,118.33,13.91,7.47
Vilyuysk,96,RU,1584226973,96,63.76,121.62,5.36,5.28
Inuvik,75,CA,1584226973,58,68.35,-133.72,33.8,2.24
Pundaguitan,70,PH,1584226973,72,6.37,126.17,79.25,10.92
Dumai,9,ID,1584226973,94,1.68,101.45,75.58,2.17
Masterton,0,NZ,1584226974,67,-40.96,175.66,71.01,4.0
Sarany,87,RU,1584226974,98,58.5,58.88,25.92,4.03
Manzanillo,11,CU,1584226974,60,20.34,-77.12,78.33,11.65
Dillon,90,US,1584226974,56,34.42,-79.37,71.6,3.06
Mutare,71,ZW,1584226974,96,-18.97,32.67,63.19,2.28
Nguruka,68,TZ,1584226975,95,-5.11,31.04,64.62,1.23
Cedeno,78,CO,1584226975,64,7.05,-72.16,79.39,2.77
Sinnamary,83,GF,1584226864,78,5.38,-52.95,79.86,15.93
Kemijärvi,53,FI,1584226975,84,66.71,27.43,14.45,15.86
Basco,100,PH,1584226975,81,20.45,121.97,70.99,28.66
Suixi,0,CN,1584226975,49,33.89,116.77,44.92,4.47
Waingapu,95,ID,1584226976,76,-9.66,120.26,82.47,4.99
Santiago del Estero,93,AR,1584226976,74,-27.8,-64.26,78.4,5.55
Parrita,20,CR,1584226976,57,9.52,-84.32,84.2,19.46
Belaya Gora,58,RU,1584226976,83,68.53,146.42,-19.55,2.44
Erzurum Province,75,TR,1584226976,93,40.0,41.5,35.6,3.36
Los Altos,90,US,1584226705,87,37.39,-122.11,55.0,6.93
Soe,11,ID,1584226976,59,-9.86,124.28,81.82,0.76
Hambantota,11,LK,1584226977,79,6.12,81.12,78.64,16.58
Mahrīz,20,IR,1584226977,33,31.59,54.43,62.6,4.7
Nuuk,20,GL,1584226938,65,64.18,-51.72,6.8,12.75
Galesburg,90,US,1584226977,92,40.95,-90.37,35.6,12.75
Anchorage,1,US,1584226778,45,61.22,-149.9,28.0,4.7
Oistins,90,BB,1584226956,88,13.07,-59.53,75.2,14.99
Porto-Novo,69,BJ,1584226911,76,6.5,2.6,83.26,8.03
Savannah Bight,0,HN,1584226978,78,16.45,-85.85,79.97,18.3
Preobrazheniye,100,RU,1584226978,65,42.9,133.91,30.15,6.67
Port-Cartier,75,CA,1584226978,68,50.03,-66.87,27.0,12.75
Mogadishu,65,SO,1584226978,84,2.04,45.34,82.24,18.19
Vysokogornyy,99,RU,1584226978,87,50.12,139.15,13.21,2.17
Uthal,100,PK,1584226979,32,25.81,66.62,67.71,4.23
Saint-Pierre,43,RE,1584226789,83,-21.34,55.48,77.0,8.05
Beyneu,100,KZ,1584226979,76,45.32,55.2,51.67,7.4
Narrabri,41,AU,1584226979,63,-30.32,149.78,66.99,14.99
Banjarmasin,70,ID,1584226979,84,-3.32,114.59,78.94,3.44
Katobu,97,ID,1584226980,90,-4.94,122.53,78.67,2.59
Loreto,92,MX,1584226980,16,22.27,-101.97,79.92,1.52
Bay Roberts,20,CA,1584226980,80,47.6,-53.26,36.0,31.09
Sesheke,92,ZM,1584226980,78,-17.48,24.3,75.2,1.12
Raduzhny,100,RU,1584226980,97,62.1,77.47,32.22,11.21
Beringovskiy,49,RU,1584226962,86,63.05,179.32,21.36,7.18
Kobryn,5,BY,1584226981,52,52.21,24.36,28.62,7.29
Kaili,100,ID,1584226981,86,-3.46,120.21,65.41,1.54
Vestmannaeyjar,33,IS,1584226981,66,63.44,-20.27,27.14,18.01
Lethem,80,GY,1584226981,52,3.38,-59.8,87.53,14.12
Santa Vitória do Palmar,67,BR,1584226981,90,-33.52,-53.37,71.71,6.42
Pringsewu,83,ID,1584226955,96,-5.36,104.97,73.56,1.88
Korāput,39,IN,1584226982,53,18.82,82.72,71.06,3.44
Rosário Oeste,59,BR,1584226982,90,-14.84,-56.43,76.24,1.95
Culaman,70,PH,1584226982,71,5.96,125.66,73.89,1.79
Kloulklubed,75,PW,1584226983,88,7.04,134.26,77.0,10.2
Atemar,52,RU,1584226983,97,54.18,45.41,30.85,7.38
São Félix do Xingu,100,BR,1584226841,95,-6.64,-51.99,74.3,2.01
Algiers,20,DZ,1584226693,93,36.75,3.04,53.6,3.36
Los Llanos de Aridane,20,ES,1584226724,63,28.66,-17.92,64.4,16.11
Skegness,100,GB,1584226984,93,53.14,0.34,50.0,19.46
Ajdabiya,39,LY,1584226984,67,30.76,20.23,63.77,4.29
Beyla,30,GN,1584226984,20,8.68,-8.63,73.49,6.08
Tianmen,0,CN,1584226984,59,30.65,113.16,53.26,4.21
Bowen,68,AU,1584226984,78,-20.02,148.23,80.01,4.7
Sambava,100,MG,1584226984,97,-14.27,50.17,72.03,7.02
Kyrylivka,77,UA,1584226985,54,46.38,35.37,41.81,15.3
Garoowe,83,SO,1584226985,76,8.41,48.48,73.85,11.27
Winnemucca,20,US,1584226985,30,40.97,-117.74,55.4,18.34
Ballószög,100,HU,1584226985,44,46.86,19.57,39.2,18.34
Koshki,100,RU,1584226985,98,54.21,50.47,33.4,8.97
Columbus,90,US,1584226877,92,39.96,-83.0,35.01,4.7
Togitsu,75,JP,1584226986,65,32.83,129.85,48.2,3.36
Endicott,1,US,1584226986,59,42.1,-76.05,43.0,10.29
Jutaí,100,BR,1584226986,96,-5.18,-68.9,75.87,2.62
Bonito,63,BR,1584226986,62,-21.12,-56.48,75.87,2.28
Seoul,90,KR,1584226709,51,37.57,126.98,42.8,2.24
Kenora,90,CA,1584226947,41,49.82,-94.43,23.0,8.05
Sainte-Maxime,5,FR,1584226986,87,43.3,6.63,55.4,2.37
Burgeo,99,CA,1584226840,75,47.62,-57.62,30.83,31.16
Road Town,20,VG,1584226987,74,18.42,-64.62,78.8,6.93
Bacolod City,54,PH,1584226987,68,10.67,122.95,79.34,1.54
Tornio,88,FI,1584226987,85,65.85,24.15,23.0,18.34
Saint Anthony,5,US,1584226987,47,45.02,-93.22,36.0,8.05
Mitú,79,CO,1584226987,87,1.2,-70.17,75.92,1.92
Timrå,68,SE,1584226987,62,62.49,17.33,30.99,8.05
Comodoro Rivadavia,0,AR,1584226757,39,-45.87,-67.5,66.2,11.41
Acaraú,99,BR,1584226988,94,-2.89,-40.12,75.51,3.15
Shaunavon,100,CA,1584226988,94,49.65,-108.42,18.27,16.58
Arcata,75,US,1584226718,66,40.87,-124.08,48.99,9.17
Bairnsdale,0,AU,1584226988,73,-37.83,147.62,60.01,1.01
Beira,20,MZ,1584226988,94,-19.84,34.84,75.2,3.36
Clyde River,20,CA,1584226774,74,70.47,-68.59,-25.6,3.36
Bergen,75,NO,1584226989,80,60.39,5.33,39.2,40.26
Yulara,0,AU,1584226989,31,-25.24,130.99,75.2,14.99
Krasnokamensk,0,RU,1584226989,73,50.1,118.04,2.28,2.53
Iralaya,8,HN,1584226989,79,15.0,-83.23,80.19,13.98
Makakilo City,90,US,1584226977,73,21.35,-158.09,82.4,4.81
Aksu,3,CN,1584226970,31,41.12,80.26,36.77,2.53
Alofi,100,NU,1584226990,79,-19.06,-169.92,84.2,8.05
Östersund,46,SE,1584226822,49,63.18,14.64,26.6,13.87
Cayenne,74,GF,1584226833,74,4.93,-52.33,80.6,5.82
Santa Isabel Rio Negro,96,BR,1584226990,79,-0.41,-65.02,79.63,1.92
Ubari,0,LY,1584226990,20,26.59,12.78,60.78,7.81
Kaseda-shirakame,75,JP,1584226991,74,31.42,130.32,46.4,6.93
Lerwick,75,GB,1584226991,87,60.15,-1.15,44.6,18.34
Nushki,94,PK,1584226991,21,29.55,66.02,57.9,5.68
